"urgency","asset","cve_id","cvss","epss","kev","summary"
"Fix today","Windows Server 2022","CVE-2025-59287","9.8","0.72697","Yes","CVE-2025-59287 affects Windows Server 2022. CVSS is 9.8 and EPSS indicates high exploitation probability. It is in the KEV catalogue, meaning it has confirmed real-world exploitation."
"Fix today","Windows Server 2022","CVE-2025-33053","8.8","0.50282","Yes","CVE-2025-33053 affects Windows Server 2022. CVSS is 8.8 and EPSS indicates moderate exploitation probability. It is in the KEV catalogue, meaning it has confirmed real-world exploitation."
"Fix today","Google Chrome","CVE-2025-2783","8.3","0.4686","Yes","CVE-2025-2783 affects Google Chrome. CVSS is 8.3 and EPSS indicates moderate exploitation probability. It is in the KEV catalogue, meaning it has confirmed real-world exploitation."
"Fix today","Windows Server 2022","CVE-2025-26633","7.0","0.43979","Yes","CVE-2025-26633 affects Windows Server 2022. CVSS is 7.0 and EPSS indicates moderate exploitation probability. It is in the KEV catalogue, meaning it has confirmed real-world exploitation."
"Fix today","Windows Server 2022","CVE-2025-33073","8.8","0.37158","Yes","CVE-2025-33073 affects Windows Server 2022. CVSS is 8.8 and EPSS indicates moderate exploitation probability. It is in the KEV catalogue, meaning it has confirmed real-world exploitation."
"Fix today","Windows Server 2022","CVE-2025-30397","7.5","0.20737","Yes","CVE-2025-30397 affects Windows Server 2022. CVSS is 7.5 and EPSS indicates low exploitation probability. It is in the KEV catalogue, meaning it has confirmed real-world exploitation."
"Fix today","Windows Server 2022","CVE-2025-21418","7.8","0.1327","Yes","CVE-2025-21418 affects Windows Server 2022. CVSS is 7.8 and EPSS indicates low exploitation probability. It is in the KEV catalogue, meaning it has confirmed real-world exploitation."
"Fix today","Windows Server 2022","CVE-2025-24054","6.5","0.08036","Yes","CVE-2025-24054 affects Windows Server 2022. CVSS is 6.5 and EPSS indicates low exploitation probability. It is in the KEV catalogue, meaning it has confirmed real-world exploitation."
"Fix today","Windows Server 2022","CVE-2025-59230","7.8","0.04972","Yes","CVE-2025-59230 affects Windows Server 2022. CVSS is 7.8 and EPSS indicates low exploitation probability. It is in the KEV catalogue, meaning it has confirmed real-world exploitation."
"Fix today","Google Chrome","CVE-2025-5419","8.8","0.03827","Yes","CVE-2025-5419 affects Google Chrome. CVSS is 8.8 and EPSS indicates low exploitation probability. It is in the KEV catalogue, meaning it has confirmed real-world exploitation."
